EE_Delta_no,Delta_no_matlab,BasinID,Polygon,Delta,River_mouth_type,Anthropogenic,Anthropogenic_filtering_succesful_Landcover,Interior_change,Small_or_misplaced_buffer,Buffer_Overlaps_or_Inside_another_delta,Obs,
0,50,69,0,1,delta,0,NaN,0,0,0,,
1,51,87861,1,1,delta,0,NaN,1,1,0,River and estuarine dynamics,
2,52,87825,0,0,nondelta,NaN,NaN,NaN,NaN,0,tidal inlet,
3,53,227807,1,1,delta,1,0,0,0,0,Dikes,
4,54,299177,1,1,delta,0,NaN,1,0,0,,
5,55,201340,0,1,anthropogenic river mouth,1,0,0,0,0,"Port development, dikes",
6,56,135103,1,1,delta,0,NaN,1,0,0,,
7,69,103071,0,0,river mouth,NaN,NaN,NaN,NaN,0,Dike,
8,70,74573,0,0,interdune channel mouth,NaN,NaN,NaN,NaN,1,No mouth,
9,71,250920,0,0,estuary(ria),NaN,NaN,NaN,NaN,0,"Rocky estuary, river mouth is far",
10,72,135935,0,0,tidal inlets,NaN,NaN,NaN,NaN,0,,
11,73,170497,0,1,delta,0,NaN,1,0,0,,
12,74,157003,0,0,river mouth,NaN,NaN,NaN,NaN,0,No change,
13,75,314898,1,1,delta,0,NaN,0,1,1,Small buffer,
14,76,162388,1,1,"delta, anthropogenic river mouth",1,0,0,0,0,Urban development,
15,77,203988,0,0,anthropogenic river mouth,NaN,NaN,NaN,NaN,0,City of Nice,
16,78,2769,1,1,delta,0,NaN,1,0,0,,
17,79,574716,1,1,delta,0,NaN,0,0,0,,
18,80,383601,1,1,"delta, anthropogenic river mouth",1,0,0,0,0,"Urban development, dikes",
19,81,7818,1,1,delta,0,NaN,1,0,0,,
20,82,276923,0,0,estuary,NaN,NaN,NaN,NaN,0,"Dikes, ports, ships, shrimp farms",
21,83,225,0,0,no river mouth,NaN,NaN,NaN,NaN,0,No river mouth,
22,84,151202,0,1,delta,0,NaN,0,0,0,Change from vegetation,
23,85,141533,0,0,river mouth,NaN,NaN,NaN,NaN,0,,
24,86,3018,1,1,delta,0,NaN,1,0,0,,
25,87,673450,0,0,estuary,NaN,NaN,NaN,NaN,0,,
26,88,147976,0,0,estuary,NaN,NaN,NaN,NaN,0,,
27,89,632150,1,1,delta,1,0,0,0,1,"Aquaculture, Shrimp farms",
28,90,237383,0,0,estuary(tributary),NaN,NaN,NaN,NaN,1,No coast,
29,91,119979,0,0,estuary(tributary),NaN,NaN,NaN,NaN,0,No coast,
30,92,145404,0,0,estuary,NaN,NaN,NaN,NaN,1,,
31,93,27687,0,1,delta,0,NaN,0,0,0,,
32,94,472086,1,1,delta,1,0,1,0,0,,
33,95,382322,1,1,delta,1,0,0,0,0,Urban evelopment,
34,96,124733,0,0,estuary,NaN,NaN,NaN,NaN,0,,
35,97,324962,0,1,"delta, anthropogenic river mouth",1,0,0,0,0,"Dike, change from vegetation",
36,98,91673,0,0,river mouth,NaN,NaN,NaN,NaN,0,"Salt ponds, shrimp farms",
37,99,394758,0,0,estuary,NaN,NaN,NaN,NaN,1,estuary,
38,100,51818,0,1,delta,0,NaN,0,0,0,No change,
