BasinID,.geo
149,"{""type"":""Polygon"",""coordinates"":[[[39.79062551383309,64.63101425348462],[39.81534475211434,64.61276831324925],[39.83457082633309,64.64954193958259],[39.86066335562997,64.68421059331202],[39.94649404410653,64.69536564496279],[40.04262441520028,64.74023295886992],[40.181326807778404,64.76893243573491],[40.403799952309654,64.79467742528696],[40.40791982535653,64.81513885921906],[40.35298818473153,64.82799238390047],[40.120902003090904,64.78765850038872],[39.93001455191903,64.76366338861641],[39.799551905434654,64.68626581632292],[39.78169912223153,64.64277932868623],[39.79062551383309,64.63101425348462]]]}"
2769,"{""type"":""Polygon"",""coordinates"":[[[6.035535647126182,36.85155440759504],[6.07330115005587,36.86570139137025],[6.099737002106651,36.87641289867711],[6.142309023591026,36.8906925718831],[6.125314547272667,36.887672094490284],[6.07827932998751,36.872018615838115],[6.060426546784385,36.8655640546023],[6.035535647126182,36.85155440759504]]]}"
3018,"{""type"":""Polygon"",""coordinates"":[[[141.79697674677342,58.78495354264115],[141.80452984735936,58.787800267099556],[141.84881848261327,58.82016533259022],[141.88006085321874,58.846461924098485],[141.8941370861289,58.87043128130194],[141.93705243036717,58.92399155829809],[141.91816967890233,58.905556327851386],[141.88212078974217,58.867258139620674],[141.8677012340781,58.84932542884946],[141.8622080700156,58.84275369499585],[141.8289057628867,58.81360991403855],[141.79697674677342,58.786042956651535],[141.79697674677342,58.78495354264115]]]}"
7818,"{""type"":""Polygon"",""coordinates"":[[[-3.2084757714209733,35.223249849588946],[-3.206158342832106,35.22198775129041],[-3.201437654965895,35.22310961741396],[-3.197146120542067,35.225353303134796],[-3.1913954644141374,35.227316477251364],[-3.176203432553786,35.23664090564385],[-3.169336977475661,35.24273976391813],[-3.1813532738623795,35.234888275333965],[-3.192854586118239,35.228788826668435],[-3.202295961850661,35.22521307459469],[-3.2084757714209733,35.223249849588946]]]}"
20123,"{""type"":""Polygon"",""coordinates"":[[[-71.05319403540152,9.760198067384986],[-71.05838679205435,9.768276158410165],[-71.05714224707144,9.764004522128834],[-71.05113409887808,9.751020103205365],[-71.04607008825796,9.74738268342611],[-71.03886031042593,9.741207438086949],[-71.02967642675894,9.727080077397206],[-71.03087805639761,9.7298717589125],[-71.03323840033072,9.73659707768409],[-71.03718661200064,9.742560926297113],[-71.04214498896835,9.747704794303225],[-71.04712316889999,9.750665484965685],[-71.04956934352157,9.753034018567165],[-71.0521871795201,9.75840545204484],[-71.05319403540152,9.760198067384986]]]}"
26952,"{""type"":""Polygon"",""coordinates"":[[[-79.85911332423888,8.55417024440259],[-79.8373981600543,8.557989639851536],[-79.83370744044981,8.559856885905397],[-79.81602631862364,8.566604357778086],[-79.82117615993224,8.565501005781599],[-79.8243948107501,8.564652271298884],[-79.83307581134717,8.56167962671942],[-79.83813982196729,8.560661134884443],[-79.84015684314649,8.559642640324087],[-79.84530668445508,8.557775393219389],[-79.85522012897412,8.555695948166468],[-79.86178617664258,8.55442281293831],[-79.85911332423888,8.55417024440259]]]}"
42223,"{""type"":""Polygon"",""coordinates"":[[[143.99216901522877,49.97156269986886],[143.99268399935963,49.972997970237635],[143.98993741732838,49.982822902334846],[143.98925077182056,49.995515068433036],[143.9938856289983,50.0047837513076],[143.99783384066822,50.01228566203169],[143.99886380892994,50.019676105316904],[143.99028074008228,50.02805791874163],[143.9741445706487,50.044927396951344],[143.98530256015064,50.02894012981408],[143.99525892001392,50.01868342529452],[143.99440061312916,50.01162377583365],[143.99199735385181,50.00809356214674],[143.98650418978931,49.9977220597675],[143.9858175442815,49.98701720600674],[143.98890744906666,49.97774509803822],[143.99216901522877,49.97156269986886]]]}"
48430,"{""type"":""Polygon"",""coordinates"":[[[166.89304691082265,-15.1696363012608],[166.89854007488515,-15.16835227822291],[166.90102916485097,-15.167979495879717],[166.90583568340566,-15.168062336457249],[166.90978389507558,-15.168932160560901],[166.91489082103993,-15.170671798027916],[166.9124017310741,-15.168890740446665],[166.90592151409413,-15.166819724384993],[166.89866882091786,-15.166488359931927],[166.89605099241268,-15.166964706899693],[166.89403396374013,-15.167855234952539],[166.88768249279286,-15.17087889677244],[166.8867169054335,-15.17195582191517],[166.89304691082265,-15.1696363012608]]]}"
71749,"{""type"":""Polygon"",""coordinates"":[[[-42.83818989429739,-2.53981379489628],[-42.810209089854034,-2.5550765591889304],[-42.77793675098685,-2.560735740348666],[-42.74188786182669,-2.5681097873725665],[-42.71098881397513,-2.571882539164708],[-42.70000248585013,-2.5751408158240174],[-42.67820149097708,-2.5958906975312757],[-42.65331059131888,-2.617669132492236],[-42.65828877125052,-2.606865703990269],[-42.6766565385845,-2.588173839021922],[-42.70171909961966,-2.5648514927664556],[-42.71785526905325,-2.5549050684610957],[-42.744291121104034,-2.542557675962374],[-42.77330189380911,-2.5437581220943386],[-42.79132633838919,-2.5437581220943386],[-42.81312733326224,-2.542557675962374],[-42.833383375742706,-2.539642302136058],[-42.83818989429739,-2.53981379489628]]]}"
77603,"{""type"":""Polygon"",""coordinates"":[[[-37.80621311216235,-4.397382882773038],[-37.81119129209399,-4.395329007345971],[-37.8338505938518,-4.382149838808862],[-37.85874149351,-4.37051089937611],[-37.903398369165245,-4.340924100781981],[-37.90202507814962,-4.346401486858703],[-37.86357292971212,-4.374814787304033],[-37.85493912069843,-4.380196654294339],[-37.83485473959492,-4.391321970838886],[-37.810907977509956,-4.3995374827499525],[-37.80558647482441,-4.399280749373729],[-37.80621311216235,-4.397382882773038]]]}"
